Title,Author,Genre,Pages,Year,Downloads,Rating
White Fang,"
Jack London
",Adventure,176,1906,"41,412",5
20000 Lieues sous les mers,"
Jules Verne
",Adventure,449,1870,"31,688",4
By Wit of Woman,"
Arthur W. Marchmont
",Adventure,268,1905,"32,146",0
The Lost World,"
Arthur Conan Doyle
",Adventure,198,1912,"32,490",4.625
The Call of the Wild,"
Jack London
",Adventure,86,1903,"86,550",4.0833333333333
Fast as the Wind,"
Nat Gould
",Adventure,172,1918,"69,783",0
Marked,"
Katrina Cope
",Adventure,24,2019,"4,609",0
'Tween Snow and Fire,"
Bertram Mitford
",Adventure,323,1892,"84,336",0
A Princess of Mars,"
Edgar Rice Burroughs
",Adventure,176,1912,"53,761",4.4347826086957
Dillon Hunt And The Desert Oasis Resort,"
Chad Stewart
",Adventure,292,2019,"1,443",0
The Adventures of Huckleberry Finn,"
Mark Twain
",Adventure,304,1884,"43,094",5
"20,000 Leagues Under the Sea","
Jules Verne
",Adventure,296,1870,"231,052",3.8936170212766
The Mysterious Island,"
Jules Verne
",Adventure,492,1874,"70,242",4.8333333333333
Ayesha,"
H. Rider Haggard
",Adventure,271,1905,"30,496",4.25
Treasure Island,"
Robert Louis Stevenson
",Adventure,194,1883,"59,560",4.7777777777778
The Thirty-Nine Steps,"
John Buchan
",Adventure,101,1915,"37,973",4.1111111111111
The Curse of Capistrano,"
Harrington Strong
",Adventure,226,1919,"11,149",4.4285714285714
A Journey to the Centre of the Earth,"
Jules Verne
",Adventure,274,1871,"52,645",4.8
"20,000 Leagues Under the Seas (2nd version)","
Jules Verne
",Adventure,453,1871,"56,382",5
The Count of Monte Cristo,"
Alexandre Dumas
",Adventure,1424,1845,"190,916",4.6976744186047
Around the World in 80 Days,"
Jules Verne
",Adventure,198,1873,"58,308",4.4444444444444
Loss Of Reason,"
Miles A. Maxwell
",Adventure,242,2015,"12,087",4
The House of a Thousand Candles,"
Meredith Nicholson
",Adventure,255,1905,"29,534",4.6842105263158
Gulliver's Travels,"
Jonathan Swift
",Adventure,,1726,"49,199",4.5
The Three Musketeers,"
Alexandre Dumas
",Adventure,762,1844,"46,363",4.625
